"Ref Name","Manuf","Manuf Part No","Distrib","Distrib Part No","Required","Do not place"
"R24","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","REQUIRED",""
"R25","samsung","RC2012J221CS","digikey","1276-5515-1-ND","REQUIRED",""
"R26","","","","","NOT PLACED","DO NOT PLACE"
"R27","samsung","RC1608F8871CS","digikey","1276-4739-1-ND","REQUIRED",""
"R28","yageo","RC0603FR-071KL","digikey","311-1.00KHRCT-ND","REQUIRED",""
"R29","Yageo","RC0603FR-071ML","digikey","311-1.00MHRCT-ND","REQUIRED",""
"R30","yageo","RC0603FR-0723K7L","digikey","311-23.7KHRCT-ND","REQUIRED",""
"R31","","","","","NOT PLACED","DO NOT PLACE"
"R32","Vishay","MPMT2003AT0","digikey","MPMT-100K/100KCT-ND","OPTIONAL",""
"R33","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"R34","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"R35","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"R36","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"R37","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"R38","Bourne","3214X-1-104E","digikey","3214X-1-104E","OPTIONAL",""
"THERM1","vishay","NTCS0805E3103JHT","digikey","BC2561CT-ND","OPTIONAL",""
"THERM2","vishay","NTCS0805E3103JHT","digikey","BC2561CT-ND","OPTIONAL",""
"THERM3","vishay","NTCS0805E3103JHT","digikey","BC2561CT-ND","OPTIONAL",""
"THERM4","vishay","NTCS0805E3103JHT","digikey","BC2561CT-ND","OPTIONAL",""
"TP1","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP2","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP3","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP4","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP5","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP6","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP7","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP8","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP9","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP10","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP11","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP12","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP13","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"TP14","Keystone","5016","Digikey","5016KCT-ND","OPTIONAL",""
"U1","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","REQUIRED",""
"U2","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","REQUIRED",""
"U3","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","REQUIRED",""
"U4","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","REQUIRED",""
"U5","Linear","LT3518EFE#PBF","Digikey","LT3518EFE#PBF-ND","REQUIRED",""
"U6","On semi","MC7805ACD2TR4G","Digikey","MC7805ACD2TR4GOSCT-ND","OPTIONAL",""
"U7","TI","LMV934MA","Digikey","LMV934MAX/NOPBCT-ND","OPTIONAL",""
"U8","Maxim","MAX6120EUR-T","Digikey","MAX6120EUR+TCT-ND","OPTIONAL",""
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
